up	down	left	right	up available	down available	left available	right available	angle to apple	reward
1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.1250634018148803	0.1
0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	-0.09363098782604577	0.1
1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.1250634018148803	0.1
0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	-0.07382923710203919	0.1
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	-0.1250634018148803	-0.2
0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	-0.17629756652772138	-0.2
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	-0.1988926389169195	-0.2
0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.2111174623675211	-1.0
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.1250634018148803	-1.0
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.2891361448920001	-0.2
0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.28155921761859515	-1.0
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.2
0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	-0.1250634018148803	0.1
0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.2501268036297606	-1.0
0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.09363098782604577	0.1
0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.05123416471284111	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.1
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	-0.2
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	-0.07382923710203919	0.1
1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	-0.1250634018148803	0.1
1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.1250634018148803	0.1
0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.2501268036297606	-1.0
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.42642437015748197	0.1
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.5002536072595212	-0.2
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	-0.42642437015748197	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.4490194425466801	0.1
1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.5002536072595212	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.4490194425466801	-1.0
1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.1250634018148803	-0.2
